# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR21013141_sorted.bam" "SRR21013146_sorted.bam" "SRR21013150_sorted.bam" "SRR21013144_sorted.bam" "SRR21013140_sorted.bam" "SRR21013139_sorted.bam" "SRR21013138_sorted.bam" "SRR21013145_sorted.bam" "SRR21013142_sorted.bam" "SRR21013136_sorted.bam" "SRR21013149_sorted.bam" "SRR21013137_sorted.bam" "SRR21013143_sorted.bam" "SRR21013147_sorted.bam" "SRR21013148_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR21013141_sorted.bam	SRR21013146_sorted.bam	SRR21013150_sorted.bam	SRR21013144_sorted.bam	SRR21013140_sorted.bam	SRR21013139_sorted.bam	SRR21013138_sorted.bam	SRR21013145_sorted.bam	SRR21013142_sorted.bam	SRR21013136_sorted.bam	SRR21013149_sorted.bam	SRR21013137_sorted.bam	SRR21013143_sorted.bam	SRR21013147_sorted.bam	SRR21013148_sorted.bam
gene-b2511	U00096.3	2635884	2637356	-	1473	1941	7589	7552	5799	4034	1840	662	6230	7874	325	9666	875	7793	10222	4441
gene-b2512	U00096.3	2637474	2638652	-	1179	1539	12581	15332	4670	3368	1899	1058	11162	6631	474	16200	1357	6379	17986	7130
gene-b2513	U00096.3	2638663	2639283	-	621	763	6791	7495	2849	1793	917	493	6107	3823	253	9927	772	3707	9695	3987
gene-b2514	U00096.3	2639301	2640575	-	1275	1804	22039	21643	6684	4539	2389	1526	16922	9419	601	23981	2120	9118	29111	10159
gene-b4761	U00096.3	2640595	2640686	-	92	121	1486	1392	333	337	142	71	1166	569	34	1901	131	607	2081	805
gene-b2515	U00096.3	2640686	2641804	-	1119	1832	22941	22244	4642	4598	2348	1312	16272	7323	545	26841	1822	7009	30689	11270
gene-b2516	U00096.3	2641831	2642844	-	1014	1065	19570	19011	2937	2779	1427	964	14116	3536	399	16966	1487	3725	27601	7937
gene-b2517	U00096.3	2643129	2644283	-	1155	1185	9171	6700	4493	3320	1365	716	8101	6293	314	11024	1160	6218	9986	4562
gene-b2518	U00096.3	2644433	2644864	-	432	579	1402	2289	1935	1231	733	153	1602	2861	83	1657	247	2534	1838	1101
gene-b2519	U00096.3	2645013	2647325	-	2313	52	1119	911	1823	205	114	62	775	286	18	1066	95	309	1626	435
gene-b2520	U00096.3	2647326	2652287	-	4962	356	7496	7509	3672	880	506	325	4717	1048	135	7316	460	1084	10813	3453
gene-b2521	U00096.3	2652494	2653339	+	846	119	1936	2532	741	278	184	139	1296	353	49	3054	170	385	3035	1067
gene-b4811	U00096.3	2653356	2653455	-	100	6	86	49	79	32	12	7	85	51	0	48	11	78	112	33
gene-b4440	U00096.3	2653855	2654158	+	304	96	700	562	283	162	107	41	458	280	24	620	44	272	879	225
gene-b4812	U00096.3	2654001	2654126	+	126	78	569	459	219	131	88	33	367	198	21	534	31	201	659	172
gene-b2522	U00096.3	2654157	2654933	-	777	162	2218	2535	604	438	215	125	1391	616	52	2716	131	558	3673	1111
gene-b2523	U00096.3	2655075	2656358	-	1284	479	4973	7391	1967	1101	637	348	3090	1489	162	7041	464	1480	8502	2909
gene-b2524	U00096.3	2656536	2656736	-	201	150	1182	2053	494	364	171	94	883	524	48	1806	102	567	1704	725
gene-b2525	U00096.3	2656748	2657083	-	336	199	1799	3131	740	485	278	143	1423	763	64	2678	183	849	2704	1227
gene-b2526	U00096.3	2657085	2658935	-	1851	567	6739	8530	3156	1538	810	480	5068	2735	200	8882	671	3143	8472	3860
gene-b2527	U00096.3	2658952	2659467	-	516	141	2069	2279	681	348	194	140	1436	640	64	2105	162	745	2437	874
gene-b2528	U00096.3	2659563	2659886	-	324	332	4263	5973	1176	903	466	298	3201	1311	138	6003	347	1450	6163	2397
gene-b2529	U00096.3	2659903	2660289	-	387	321	3934	5269	1181	874	397	274	2905	1185	117	5718	352	1329	5491	2289
gene-b2530	U00096.3	2660317	2661531	-	1215	776	10156	13583	2686	1990	1039	777	7423	2719	348	14647	1091	2789	14396	5819
gene-b2531	U00096.3	2661643	2662131	-	489	140	2962	2352	533	327	165	138	1762	404	69	2171	203	426	3586	877
gene-b2532	U00096.3	2662583	2663323	-	741	492	8419	7838	1575	1363	693	463	5146	2041	233	9819	650	2340	10640	3342
gene-b2533	U00096.3	2663442	2664245	+	804	1785	11889	7285	5756	4315	1375	726	7556	7221	218	8410	998	10582	13836	3044
gene-b2534	U00096.3	2664390	2665244	+	855	44	746	323	511	125	58	26	469	231	9	368	44	256	890	180
gene-b2535	U00096.3	2665435	2666715	+	1281	221	1863	2399	1191	530	359	116	1561	899	61	2280	207	888	2969	1325
gene-b2536	U00096.3	2666707	2667846	-	1140	99	1168	956	1248	255	132	88	949	399	26	1370	127	408	1440	586
gene-b2537	U00096.3	2668006	2668896	-	891	11	142	170	742	25	13	8	91	34	5	166	17	36	232	80
gene-b4706	U00096.3	2668006	2668071	-	66	0	18	23	141	5	2	1	13	2	0	12	1	4	32	8
gene-b2538	U00096.3	2669032	2670393	+	1362	4	70	94	666	8	7	2	34	19	3	75	8	13	108	31
gene-b2539	U00096.3	2670390	2670908	+	519	5	35	61	221	9	7	1	32	9	1	47	3	6	68	21
gene-b2540	U00096.3	2670908	2671228	+	321	4	44	48	275	5	5	1	31	8	3	51	3	9	48	17
gene-b2541	U00096.3	2671225	2672037	+	813	15	179	155	665	27	12	5	107	25	5	166	7	34	211	76
gene-b2542	U00096.3	2672047	2673249	+	1203	18	376	381	823	57	30	12	208	51	3	380	25	72	553	131
gene-b2543	U00096.3	2673346	2673768	+	423	5	207	175	276	33	16	17	121	34	3	229	20	46	284	91
gene-b2544	U00096.3	2673816	2674688	-	873	13	223	212	764	35	19	8	134	44	3	208	13	47	301	101
gene-b2545	U00096.3	2674700	2675761	-	1062	16	140	171	806	24	21	7	94	42	1	160	17	34	212	68
gene-b2546	U00096.3	2675827	2676825	-	999	8	84	105	935	17	13	2	56	8	1	114	12	28	134	39
gene-b2547	U00096.3	2676850	2678361	-	1512	11	107	144	1342	21	25	6	72	33	0	126	14	44	147	48
gene-b2548	U00096.3	2678384	2679367	-	984	11	83	94	460	19	8	7	58	25	2	111	14	20	101	41
gene-b2549	U00096.3	2679464	2682745	-	3282	120	1806	1729	2222	320	193	93	1051	401	32	1466	117	357	2660	968
gene-b2550	U00096.3	2682863	2684056	+	1194	99	1385	1119	1108	277	124	61	872	356	22	1106	83	422	1830	531
gene-b2551	U00096.3	2684254	2685507	-	1254	3982	51140	89021	9056	12305	8262	3770	49992	18944	2121	81132	5955	17433	75263	48786
gene-b2552	U00096.3	2685835	2687025	+	1191	87	1125	1254	1009	192	117	52	771	305	28	1256	66	255	1661	536
gene-b2553	U00096.3	2687070	2687408	-	339	227	4082	3425	723	583	334	170	2834	936	75	4412	292	919	5062	1897
gene-b2554	U00096.3	2687469	2688803	-	1335	165	2071	1779	1321	428	264	139	1737	651	84	2644	241	729	2630	1163
gene-b2555	U00096.3	2688793	2689506	-	714	107	2453	1694	805	348	166	93	1617	383	53	2049	156	433	2885	829
gene-b2556	U00096.3	2689671	2691098	-	1428	150	2162	2042	999	415	184	112	1483	574	50	2329	174	591	3210	906
gene-b4441	U00096.3	2691157	2691340	-	184	582	568	838	597	1557	845	1370	998	1413	258	1038	1331	1931	1377	495
gene-b2557	U00096.3	2691656	2695543	-	3888	2447	10705	23259	7173	7468	4322	1241	13370	13483	873	14895	1996	11271	12711	10922
gene-b2558	U00096.3	2695801	2697357	+	1557	103	1426	906	1122	295	118	77	1102	451	39	1447	118	502	1716	530
gene-b2559	U00096.3	2697354	2697857	-	504	185	2590	1705	966	509	202	149	1590	761	62	2171	220	883	3188	937
gene-b2560	U00096.3	2697915	2698550	-	636	96	2265	2025	718	222	146	81	1420	252	47	2066	164	299	3172	856
gene-b2561	U00096.3	2698759	2699607	+	849	78	1647	1712	573	197	115	64	1171	211	32	1778	84	194	3056	697
gene-b2562	U00096.3	2699663	2699923	+	261	37	1001	359	254	114	63	33	657	206	8	518	62	282	1357	246
gene-b4687	U00096.3	2700117	2700197	-	81	113	317	271	164	208	116	87	211	183	65	377	122	144	386	118
gene-b4608	U00096.3	2700520	2700598	+	79	3	28	11	62	5	4	1	16	1	1	22	0	7	24	10
gene-b2563	U00096.3	2700618	2700998	-	381	118	1676	1330	479	303	170	94	1023	371	40	1733	119	408	2006	716
gene-b2564	U00096.3	2700998	2701729	-	732	306	4750	4625	1168	906	486	270	3273	1215	103	5380	401	1252	6228	2222
gene-b2565	U00096.3	2701741	2702469	-	729	363	2126	2279	1846	845	386	190	2293	1757	87	2428	278	1593	2371	1290
gene-b2566	U00096.3	2702481	2703386	-	906	938	7090	6158	3961	2480	1213	629	6643	4933	292	9692	967	4735	7509	4351
gene-b2567	U00096.3	2703383	2704063	-	681	503	8179	4692	2232	1455	668	371	5741	2597	176	7433	618	2787	9105	2783
gene-b2568	U00096.3	2704335	2705309	-	975	1023	8127	7475	3122	2195	1266	503	6874	4322	259	8980	677	4104	8783	4099
gene-b2569	U00096.3	2705325	2707124	-	1800	1789	13491	14745	7255	4284	2075	1215	11755	9061	479	17593	1567	8861	17091	7521
gene-b2570	U00096.3	2707322	2707801	-	480	339	5061	4464	1310	850	370	285	3286	878	112	3765	427	1033	7318	2037
gene-b2571	U00096.3	2707798	2708754	-	957	944	14263	12749	2341	2054	822	622	8551	1800	278	11869	920	2264	22718	5350
gene-b2572	U00096.3	2708754	2709404	-	651	1117	16488	12564	2073	2703	1029	711	8187	2270	243	16368	1089	3090	30781	5241
gene-b2573	U00096.3	2709437	2710012	-	576	683	12253	8884	1761	2236	753	355	6484	2143	134	11671	582	2617	24321	3717
gene-b4725	U00096.3	2710009	2710164	-	156	91	1501	1918	333	385	146	76	1402	413	29	1825	110	450	4001	744
gene-b2574	U00096.3	2710420	2712042	+	1623	49	689	655	1144	134	68	38	469	188	29	716	57	196	914	326
gene-b2575	U00096.3	2712027	2712764	-	738	93	1213	924	931	224	116	65	946	315	29	1227	108	346	1721	549
gene-b2576	U00096.3	2712896	2714230	+	1335	1036	6155	5979	3655	2372	1188	604	5164	4489	234	8180	913	5095	7201	3445
gene-b2577	U00096.3	2714439	2715320	-	882	51	997	528	904	159	58	35	515	173	14	771	70	212	1222	258
gene-b2578	U00096.3	2715423	2716010	+	588	85	1710	695	446	248	131	47	712	269	19	960	105	242	2177	404
gene-b2579	U00096.3	2716066	2716449	-	384	35987	294625	158202	36660	90662	54697	37519	148280	73051	16268	342841	45512	82949	346980	90027
gene-b2580	U00096.3	2716754	2717443	+	690	209	4011	3352	995	670	338	177	2510	866	75	4427	250	826	5331	1736
gene-b2581	U00096.3	2717491	2718528	-	1038	1270	13746	10703	3585	3373	1989	738	9278	4514	343	15625	1301	5339	15987	6094
gene-b2582	U00096.3	2718735	2719154	+	420	90	1046	1081	484	213	99	90	778	311	38	1159	131	320	1460	479
gene-b2583	U00096.3	2719223	2719921	+	699	126	1617	1497	698	292	134	81	1211	542	34	1468	145	513	2287	639
gene-b2584	U00096.3	2719953	2722613	+	2661	192	4138	4013	1762	559	260	164	2430	685	68	4013	265	697	5952	1811
gene-b4782	U00096.3	2722702	2722743	+	42	17	758	730	128	106	38	21	575	121	8	959	48	124	1269	360
gene-b2585	U00096.3	2722727	2724082	+	1356	640	12990	9714	2804	1965	920	577	10185	3234	234	12903	875	3118	17831	5552
gene-b2586	U00096.3	2724128	2724451	+	324	46	731	604	425	130	79	39	503	211	26	846	59	232	954	367
gene-b2587	U00096.3	2724448	2725746	-	1299	79	1099	1096	924	199	124	79	755	322	36	996	102	329	1735	509
gene-b4783	U00096.3	2725925	2725987	+	63	7	30	30	52	12	7	5	27	20	0	34	5	15	57	19
gene-b2588	U00096.3	2726069	2726188	-	120	20	17	153	204	78	24	33	37	40	4	48	80	48	71	50
gene-b2589	U00096.3	2726281	2729184	-	2904	37352	20748	10907	13001	39628	64881	27501	46731	88127	52174	26234	59320	44763	85690	8639
gene-b2590	U00096.3	2729369	2729444	-	76	150	822	691	307	521	230	132	1110	871	46	1742	204	1185	1341	629
gene-b2591	U00096.3	2729616	2731157	-	1542	15324	8683	7846	6700	17505	26956	11147	16408	36289	21749	9763	25552	17310	33360	3932
gene-b2592	U00096.3	2731600	2734173	-	2574	1629	21477	29975	4929	3443	2468	1418	16843	5418	601	30246	1588	4721	36799	14205
gene-b4609	U00096.3	2734153	2734295	-	143	125	714	1084	318	375	159	137	1034	653	37	1242	171	617	1686	618
gene-b2593	U00096.3	2734303	2735034	-	732	345	2220	1898	1180	758	413	146	1642	1539	62	2376	216	1342	2736	1075
gene-b2594	U00096.3	2735031	2736011	-	981	661	4922	4306	2220	1670	754	288	3674	3113	130	5670	442	2867	6310	2219
gene-b2595	U00096.3	2736146	2736883	+	738	1460	17559	13768	4068	3970	2057	848	11996	6199	366	17399	1291	5818	20579	7012
gene-b2597	U00096.3	2737154	2737495	+	342	1574	52104	55937	2095	4783	2061	1597	25512	2032	595	65987	2808	3720	113207	32095
gene-b4805	U00096.3	2737381	2737542	+	162	1050	34180	33927	1332	3022	1267	988	15605	1244	372	39519	1701	2247	69872	18737
gene-b2598	U00096.3	2737599	2737646	+	48	1	66	69	47	15	6	4	45	26	1	81	3	21	102	50
gene-b2599	U00096.3	2737745	2738905	+	1161	1607	7621	6761	3208	3380	2410	649	6090	4784	289	10156	910	3797	10241	4394
gene-b2600	U00096.3	2738948	2740069	-	1122	205	4772	6454	1350	670	370	214	4367	803	182	5285	388	846	5846	2904
gene-b2601	U00096.3	2740080	2741150	-	1071	262	6793	10082	1145	932	514	347	5863	1136	204	9429	587	1020	7959	5449
gene-b2602	U00096.3	2741360	2741725	+	366	13	107	100	147	29	14	5	74	28	4	100	11	45	176	48
gene-b2603	U00096.3	2741875	2742393	+	519	104	2104	1060	697	338	201	59	1450	503	24	1064	104	461	2613	562
gene-b2604	U00096.3	2742383	2743609	+	1227	136	2312	1439	1162	409	188	89	1532	528	46	1426	160	600	2883	696
gene-b2605	U00096.3	2743625	2744107	+	483	174	1114	736	656	515	202	71	798	746	24	1144	108	780	1193	403
gene-b2606	U00096.3	2744183	2744530	-	348	5614	18126	60580	9079	14151	7916	2299	17521	19441	1239	34031	2700	15895	34404	16881
gene-b2607	U00096.3	2744572	2745339	-	768	7896	30803	98207	16505	20827	11263	3281	31316	28841	1591	61813	3899	25004	59185	30310
gene-b2608	U00096.3	2745370	2745918	-	549	8243	28450	68201	14966	22024	10745	2767	26556	27581	1304	48576	3586	23969	48837	22626
gene-b2609	U00096.3	2745937	2746185	-	249	4855	15945	38280	9079	12492	6581	2223	14786	16892	991	25771	2912	15738	26965	12291
gene-b2610	U00096.3	2746434	2747795	-	1362	932	10240	10597	3261	2269	1178	802	7687	3635	340	13476	1134	3726	13897	5216
gene-b2611	U00096.3	2747962	2748753	+	792	304	6829	6137	1007	834	444	304	4318	882	119	5807	445	951	9562	2836
gene-b4461	U00096.3	2748774	2750060	+	1287	396	7841	6674	1673	1122	501	397	5824	1268	142	8099	560	1384	10644	3320
gene-b2614	U00096.3	2750115	2750708	-	594	1457	13459	17792	3342	2931	2420	781	12609	6149	365	17174	914	4661	20956	8768
gene-b2615	U00096.3	2750831	2751709	+	879	131	2960	3011	814	400	227	126	1999	435	55	3048	211	424	4690	1468
gene-b2616	U00096.3	2751795	2753456	+	1662	137	2198	2349	1018	353	185	152	1535	343	44	2229	182	318	3158	1138
gene-b2617	U00096.3	2753605	2753946	+	342	611	11195	11006	1738	1775	853	506	7079	2206	187	13934	737	2726	17536	4715
gene-b2618	U00096.3	2754008	2754298	-	291	160	2612	2519	716	451	187	157	1666	685	64	3049	233	804	3584	1078
gene-b2619	U00096.3	2754288	2754764	-	477	264	3296	3393	1032	639	313	208	2477	963	90	4616	293	1093	4762	1511
gene-b2620	U00096.3	2754896	2755378	+	483	498	6495	6338	1471	1165	732	289	4158	1839	160	7647	512	1607	8760	3331
gene-b2621	U00096.3	2755593	2755955	+	363	881123	1671286	1484649	600646	1830997	1153836	1412913	1268342	1208118	568135	1920603	1449930	1270705	2729013	704100
gene-b2622	U00096.3	2756159	2757400	+	1242	1	2	0	1	0	0	0	0	0	0	1	0	0	0	1
gene-b2623	U00096.3	2757644	2758600	-	957	3	2	1	0	0	1	3	2	0	0	0	3	2	6	0
gene-b2624	U00096.3	2758644	2758856	+	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2625	U00096.3	2758985	2760394	+	1410	0	1	1	1	2	1	1	1	1	0	0	0	0	1	3
gene-b2626	U00096.3	2760547	2761173	+	627	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
gene-b2627	U00096.3	2761351	2763540	-	2190	2	4	3	0	3	0	3	2	1	0	7	2	0	5	2
gene-b2628	U00096.3	2763537	2765153	-	1617	1	2	2	2	3	0	1	0	0	0	3	0	1	2	1
gene-b2629	U00096.3	2765513	2765776	-	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2630	U00096.3	2765918	2766991	+	1074	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
gene-b2631	U00096.3	2766984	2767355	+	372	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene-b2632	U00096.3	2767710	2768573	+	864	0	1	1	0	0	0	0	3	0	0	2	0	3	2	0
gene-b2633	U00096.3	2768665	2769486	+	822	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1
gene-b2634	U00096.3	2769703	2770404	+	702	0	14	5	5	2	0	0	4	3	0	13	0	2	13	2
gene-b2635	U00096.3	2770445	2770681	+	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2636	U00096.3	2770681	2771124	+	444	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
gene-b2637	U00096.3	2771148	2771615	+	468	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gene-b2638	U00096.3	2771840	2772154	-	315	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene-b2642	U00096.3	2773318	2775021	+	1704	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
gene-b2643	U00096.3	2775919	2776377	+	459	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2644	U00096.3	2776386	2776868	+	483	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0
gene-b4548	U00096.3	2776877	2777077	+	201	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0
gene-b2645	U00096.3	2777115	2777432	+	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2646	U00096.3	2777453	2777782	+	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2647	U00096.3	2778146	2782726	-	4581	0	3	1	0	2	3	1	1	2	1	2	0	1	6	1
gene-b2649	U00096.3	2783638	2784429	-	792	0	6	1	0	0	0	0	1	0	0	1	0	0	3	1
gene-b2650	U00096.3	2784529	2785011	-	483	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gene-b2652	U00096.3	2785762	2785837	-	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-b2659	U00096.3	2788985	2789962	+	978	11	251	242	360	30	9	13	165	35	7	286	10	25	337	115
gene-b2660	U00096.3	2789982	2791250	+	1269	26	277	348	563	54	34	16	181	94	5	384	20	90	449	147
gene-b2661	U00096.3	2791273	2792721	+	1449	106	469	572	1033	182	154	40	304	267	17	608	68	268	714	263
gene-b2662	U00096.3	2792735	2794015	+	1281	119	821	659	1253	295	183	76	416	372	33	997	125	438	1038	319
gene-b2663	U00096.3	2794253	2795653	+	1401	18	221	148	599	41	25	23	125	57	3	250	21	60	275	72
gene-b2664	U00096.3	2795674	2796336	+	663	35	658	596	548	92	54	34	403	99	11	659	40	122	1032	232
gene-b2665	U00096.3	2796337	2796786	-	450	32	622	561	406	86	64	31	389	66	11	738	44	107	1059	248
gene-b2666	U00096.3	2796870	2797028	-	159	15	110	86	196	44	41	6	81	44	4	141	9	57	179	53
gene-b2667	U00096.3	2797211	2797510	+	300	16	255	270	168	55	21	15	152	84	5	263	14	80	351	111
gene-b2668	U00096.3	2797520	2798044	+	525	87	811	657	531	205	116	31	517	317	21	753	68	329	1101	354
gene-b2669	U00096.3	2798091	2798495	-	405	132	1185	1409	780	290	193	70	1238	815	37	1593	99	757	1940	578
gene-b2670	U00096.3	2799164	2799613	+	450	67	1031	1377	304	109	72	53	737	123	23	2278	58	115	1942	587
gene-b2671	U00096.3	2799650	2799994	-	345	13	304	273	251	31	15	7	213	31	1	380	13	46	549	136
gene-b2672	U00096.3	2800146	2800475	+	330	27	218	143	285	64	27	18	140	48	10	186	26	59	332	55
gene-b2673	U00096.3	2800723	2800968	+	246	3	11	47	158	6	3	3	15	4	0	8	2	6	27	11
gene-b2674	U00096.3	2800965	2801375	+	411	5	64	101	337	8	5	4	54	14	2	38	4	13	112	38
gene-b2675	U00096.3	2801348	2803492	+	2145	17	371	483	1098	45	26	16	233	48	9	347	20	53	575	182
gene-b2676	U00096.3	2803502	2804461	+	960	12	237	303	534	46	19	9	151	43	7	215	16	42	401	95
gene-b2677	U00096.3	2804815	2806017	+	1203	196	1656	1852	1182	430	339	111	1648	1140	78	1312	160	898	2099	886
gene-b2678	U00096.3	2806010	2807074	+	1065	130	944	2149	1254	305	248	91	908	812	51	1382	108	615	1285	898
gene-b2679	U00096.3	2807132	2808124	+	993	232	1450	2541	873	538	395	127	1325	942	82	2436	152	726	2501	1190
gene-b2682	U00096.3	2809617	2810354	+	738	295	5828	6153	1267	730	458	201	4079	1192	80	5013	325	1078	7517	2970
gene-b2683	U00096.3	2810344	2810679	+	336	128	2682	2437	532	372	263	98	1868	601	43	2349	158	546	3061	1220
gene-b2684	U00096.3	2810770	2811300	+	531	756	5976	7075	2205	1816	1065	398	5348	3805	203	6635	609	3172	7272	3456
gene-b2685	U00096.3	2811427	2812599	+	1173	312	2359	3506	1594	772	559	251	2595	1879	131	3195	361	1510	3099	1889
gene-b2686	U00096.3	2812616	2814154	+	1539	277	2343	3048	1549	658	447	230	2143	1372	105	2633	283	1033	3150	1605
gene-b2687	U00096.3	2814218	2814733	-	516	1113	19274	16746	2646	2876	1872	851	12436	4380	373	20610	1117	3947	25059	8753
gene-b4442	U00096.3	2814802	2814874	+	73	67	1334	895	238	203	126	44	954	260	24	1589	62	261	1553	643
gene-b2688	U00096.3	2814883	2816439	-	1557	1583	20763	17130	5049	3947	2438	1010	15002	7134	494	24472	1508	6342	26051	10210
gene-b2689	U00096.3	2816512	2816940	-	429	214	4157	3609	976	614	358	154	2976	948	75	4361	277	887	5778	1895
gene-b2690	U00096.3	2816937	2817503	-	567	229	4125	3763	1229	625	300	176	2814	945	77	4086	284	1008	5627	1860
gene-b2691	U00096.3	2817784	2817860	-	77	369	10699	4957	933	843	322	260	5952	1416	119	8070	380	1568	10959	2458
gene-b2692	U00096.3	2818059	2818135	-	77	483	15418	7482	1162	1293	564	359	8857	2086	162	11926	598	2353	16975	3545
gene-b2693	U00096.3	2818198	2818274	-	77	737	19513	9176	1844	1639	709	514	10990	2690	205	15852	751	3161	20711	4375
gene-b2694	U00096.3	2818473	2818549	-	77	2757	46614	27504	6210	7133	3028	1907	27814	10150	865	44209	2840	12622	55657	11283
gene-b2695	U00096.3	2818553	2818645	-	93	2108	27562	21749	4047	5953	2549	1836	21042	8767	649	32737	2653	11035	39579	8753
gene-b2696	U00096.3	2818961	2819146	-	186	669	10600	11020	1739	1805	1067	456	7981	3053	268	13076	669	2742	16337	5424
gene-b2697	U00096.3	2819381	2822011	-	2631	11005	63795	73381	22961	24090	16171	4748	50560	43422	2190	81856	6244	36336	81137	37085
gene-b2698	U00096.3	2822139	2822639	-	501	25	298	282	307	71	37	23	206	115	10	284	35	79	382	132
gene-b2699	U00096.3	2822708	2823769	-	1062	1588	23143	23641	3932	4297	2837	1425	15438	5248	666	30363	2144	5299	32202	12052
gene-b2700	U00096.3	2823849	2824346	-	498	117	1839	1782	789	289	168	121	1264	412	41	2359	151	430	2218	867
gene-b2701	U00096.3	2824491	2825576	-	1086	108	1323	1229	1087	269	149	91	1207	345	41	1981	128	350	1748	726
gene-b2702	U00096.3	2825832	2826395	+	564	1	33	34	383	4	4	1	27	6	1	49	2	10	63	16
gene-b2703	U00096.3	2826392	2827351	+	960	4	57	95	734	13	9	0	48	18	1	74	4	17	132	23
gene-b2704	U00096.3	2827362	2827733	+	372	4	51	72	172	8	6	3	40	20	0	75	6	9	95	28
gene-b2705	U00096.3	2827737	2828516	+	780	16	312	378	630	53	31	10	203	58	8	347	21	54	467	137
gene-b2706	U00096.3	2828621	2828980	+	360	11	181	156	348	24	15	2	102	22	4	155	8	22	250	64
gene-b2707	U00096.3	2829047	2829820	+	774	122	2960	2787	624	352	152	100	1980	437	46	3670	186	403	4315	1487
gene-b2708	U00096.3	2829813	2830778	+	966	309	5707	4535	1380	759	421	276	3660	1091	97	6309	462	1112	7461	2412
gene-b2709	U00096.3	2830775	2832289	-	1515	47	1034	1023	1442	130	58	49	712	145	15	899	67	170	1478	448
gene-b2710	U00096.3	2832476	2833915	+	1440	27	376	411	1423	72	29	18	247	69	7	405	30	104	624	173
gene-b2711	U00096.3	2833912	2835045	+	1134	21	423	343	729	65	20	13	239	62	6	346	19	61	489	117
gene-b2712	U00096.3	2835173	2837425	-	2253	109	3283	3532	2239	376	222	137	2260	305	75	4329	231	359	4121	1535
gene-b2713	U00096.3	2837578	2838105	-	528	6	164	111	303	19	9	5	129	25	1	150	9	22	238	57
gene-b2714	U00096.3	2838254	2839264	-	1011	20	433	466	705	78	36	32	349	72	14	579	39	82	556	203
gene-b2715	U00096.3	2839524	2840981	+	1458	16	191	258	946	41	29	12	133	54	8	266	7	44	307	109
gene-b2716	U00096.3	2840990	2842414	+	1425	6	96	106	331	13	5	3	52	22	2	94	4	15	169	34
gene-b2717	U00096.3	2842573	2843043	-	471	41	582	530	404	96	48	19	283	91	12	588	41	128	842	202
gene-b2718	U00096.3	2843036	2843446	-	411	17	186	211	413	42	22	9	123	61	2	244	18	57	258	98
gene-b2719	U00096.3	2843443	2844210	-	768	16	228	260	482	57	27	18	149	71	6	288	25	64	323	129
gene-b2720	U00096.3	2844210	2844752	-	543	7	121	108	422	37	11	9	64	33	1	104	4	29	131	43
gene-b2721	U00096.3	2844762	2846471	-	1710	22	296	237	1671	49	23	13	136	105	10	296	33	110	367	109
gene-b2722	U00096.3	2846489	2847412	-	924	3	83	78	737	23	12	5	54	25	1	104	11	33	97	33
gene-b2723	U00096.3	2847415	2849241	-	1827	18	309	303	1308	43	13	13	181	44	11	310	25	58	460	127
gene-b2724	U00096.3	2849238	2849849	-	612	0	27	57	513	4	3	3	19	7	1	52	5	10	43	21
gene-b2725	U00096.3	2849974	2850435	-	462	3	38	46	214	9	4	1	33	9	2	49	3	12	41	23
gene-b2726	U00096.3	2850647	2850997	+	351	146	1978	2638	606	506	235	126	1451	628	31	3085	276	693	4049	1353
gene-b2727	U00096.3	2851001	2851873	+	873	1463	20334	16913	4030	3675	1914	1018	10266	4778	438	22941	2190	5748	29901	8244
gene-b2728	U00096.3	2851864	2852136	+	273	473	6521	4838	1438	1095	537	345	3427	1575	121	7078	625	2034	9720	2394
gene-b2729	U00096.3	2852136	2853257	+	1122	1461	20368	12286	4922	3834	1878	1143	11315	5938	437	21681	2088	7067	27579	7048
gene-b2730	U00096.3	2853254	2854264	+	1011	1726	18432	9192	5430	4162	2045	1000	10153	6788	349	17424	1802	8091	22646	5600
gene-b2731	U00096.3	2854338	2856416	+	2079	554	7225	2855	4243	1771	683	330	4854	3236	146	5208	725	3830	8017	1955
