Geneid	8_R1	8_R2	24_R1	24_R2	Entity	Symbol
gene-PA1335	13	46	38	27	host	gene-PA1335
gene-PA4701	145	310	273	265	host	gene-PA4701
gene-PA5278	121	270	249	207	host	dapF
gene-PA1617	33	108	91	75	host	gene-PA1617
gene-PA5389	6	31	21	9	host	cdhR
gene-PA2040	373	834	489	397	host	gene-PA2040
gene-PA4983	27	86	93	69	host	gene-PA4983
gene-PA5359	22	73	62	52	host	gene-PA5359
gene-PA2517	2	4	3	4	host	xylY
gene-PA3609	25	66	70	56	host	potC
gene-F358_gp80	4239	11746	14570	14008	phage	gene-F358_gp80
gene-PA2534	15	25	15	13	host	gene-PA2534
gene-PA4356	18	34	35	47	host	xenB
gene-PA3447	9	7	13	7	host	gene-PA3447
gene-PA3976	59	140	130	96	host	thiE
gene-PA5237	218	466	373	297	host	gene-PA5237
gene-PA5333	47	129	136	125	host	gene-PA5333
gene-PA4346	2	4	5	6	host	gene-PA4346
gene-PA1976	15	17	11	13	host	ercS'
gene-PA4219	2	9	6	6	host	gene-PA4219
gene-PA3500	4	10	6	5	host	gene-PA3500
gene-PA0763	424	756	755	626	host	mucA
gene-PA2264	24	24	39	29	host	gene-PA2264
gene-PA4124	5	11	18	9	host	hpcB
gene-PA3922	11	28	27	21	host	gene-PA3922
gene-PA3241	18	61	56	48	host	gene-PA3241
gene-PA0810	10	30	32	22	host	gene-PA0810
gene-PA4186	20	34	45	37	host	gene-PA4186
gene-PA0408	282	584	377	341	host	pilG
gene-PA2042	109	219	164	124	host	gene-PA2042
gene-PA3250	4	7	18	8	host	gene-PA3250
gene-PA1990	4	14	15	7	host	pqqH
gene-PA2250	27	63	70	54	host	lpdV
gene-PA4246	767	1294	1150	1020	host	rpsE
gene-PA1085	52	125	76	86	host	flgJ
gene-PA4360	23	36	60	45	host	gene-PA4360
gene-PA0444	14	35	28	22	host	gene-PA0444
gene-PA1112.1	41	74	69	41	host	gene-PA1112.1
gene-PA5056	52	121	151	107	host	phaC1
gene-PA0749	27	88	82	61	host	gene-PA0749
gene-PA4451.1	2	6	9	8	host	gene-PA4451.1
gene-PA5553	170	378	384	301	host	atpC
gene-PA2754	6	20	36	32	host	gene-PA2754
gene-PA1932	14	32	32	43	host	gene-PA1932
gene-PA0195.1	15	20	16	27	host	pntAB
gene-PA3549	1	8	6	12	host	algJ
gene-PA0441	15	53	44	53	host	dht
gene-PA4262	2971	6909	3817	3303	host	rplD
gene-PA3460	9	29	22	16	host	gene-PA3460
gene-PA5166	55	136	97	105	host	gene-PA5166
gene-PA3327	13	52	62	43	host	gene-PA3327
gene-PA1730	10	20	29	14	host	gene-PA1730
gene-PA2231	237	689	566	486	host	pslA
gene-PA4366	525	826	528	497	host	sodB
gene-PA5057	13	26	32	17	host	phaD
gene-PA3012	63	116	79	67	host	gene-PA3012
gene-PA1054	313	759	712	677	host	gene-PA1054
gene-PA2828	88	206	151	146	host	gene-PA2828
gene-PA4209	7	19	25	27	host	phzM
gene-PA2028	4	18	22	10	host	gene-PA2028
gene-PA3204	74	167	149	92	host	gene-PA3204
gene-PA2787	2	5	5	7	host	cpg2
gene-PA3059	39	74	25	21	host	pelF
gene-PA5117	941	1719	1141	993	host	typA
gene-PA5519	21	60	88	58	host	gene-PA5519
gene-PA0919	79	157	168	133	host	gene-PA0919
gene-PA0023	62	133	137	98	host	qor
gene-PA5118	811	600	446	472	host	thiI
gene-PA5510	99	232	158	117	host	gene-PA5510
gene-PA3856	12	45	37	21	host	gene-PA3856
gene-PA1553	222	395	331	332	host	ccoO1
gene-PA2895	31	38	61	48	host	gene-PA2895
gene-PA1929	14	17	12	14	host	gene-PA1929
gene-PA4172	6	6	1	1	host	gene-PA4172
gene-PA1806	28	64	73	78	host	fabI
gene-PA0729.1	763	1167	1020	770	host	gene-PA0729.1
gene-PA0183	8	24	26	19	host	atsA
gene-PA4650	2	5	15	11	host	gene-PA4650
gene-PA0672	4	13	7	13	host	hemO
gene-PA2488	11	11	18	6	host	gene-PA2488
gene-PA2723	23	48	36	43	host	gene-PA2723
gene-PA2748	18	42	26	40	host	gene-PA2748
gene-PA3579	95	250	90	111	host	gene-PA3579
gene-PA4777	29	103	61	41	host	pmrB
gene-PA4526	128	402	495	381	host	pilB
gene-PA2776	68	178	151	120	host	gene-PA2776
gene-PA3365	11	22	15	8	host	gene-PA3365
gene-PA4649	1	12	8	4	host	gene-PA4649
gene-PA1894	5	7	15	11	host	gene-PA1894
gene-PA0679	2	1	7	8	host	gene-PA0679
gene-PA2531	11	12	11	8	host	gene-PA2531
gene-PA0656	21	51	60	48	host	gene-PA0656
gene-PA4717	49	126	97	61	host	gene-PA4717
gene-PA4386	638	1297	1533	905	host	groES
gene-PA3454	7	28	18	18	host	gene-PA3454
gene-PA2865	38	110	105	87	host	gene-PA2865
gene-PA4928	176	375	294	287	host	gene-PA4928
gene-PA3702	76	151	133	74	host	wspR
gene-PA2215	11	16	13	8	host	gene-PA2215
gene-PA0022	47	114	118	104	host	gene-PA0022
gene-F358_gp04	1695	4467	12899	12680	phage	gene-F358_gp04
gene-PA0808	2	20	10	2	host	gene-PA0808
gene-PA2813	24	60	47	32	host	gene-PA2813
gene-PA3598	17	19	24	22	host	gene-PA3598
gene-F358_gp23	536	955	10706	10695	phage	gene-F358_gp23
gene-PA0588	63	119	105	73	host	gene-PA0588
gene-PA3043	40	115	102	80	host	gene-PA3043
gene-PA5408	11	13	25	8	host	gene-PA5408
gene-PA4729	43	103	109	74	host	panB
gene-PA5144	5	5	11	4	host	gene-PA5144
gene-PA2356	1	9	6	1	host	msuD
gene-PA1797	47	97	115	109	host	gene-PA1797
gene-PA1570	21	51	50	35	host	gene-PA1570
gene-PA2463	197	545	673	505	host	gene-PA2463
gene-PA2142	1	8	3	6	host	gene-PA2142
gene-PA4323	187	391	411	366	host	gene-PA4323
gene-PA4063	16	36	17	38	host	gene-PA4063
gene-PA1502	17	52	44	29	host	gcl
gene-PA2660	55	111	135	104	host	gene-PA2660
gene-PA4167	5	5	7	5	host	gene-PA4167
gene-PA0487	34	75	50	60	host	gene-PA0487
gene-PA5004	379	796	992	765	host	gene-PA5004
gene-PA0643	31	70	63	35	host	gene-PA0643
gene-PA3497	6	13	16	16	host	gene-PA3497
gene-PA2870	34	117	96	65	host	gene-PA2870
gene-PA2385	1	4	13	14	host	pvdQ
gene-PA4193	0	9	5	10	host	gene-PA4193
gene-PA2991	288	544	523	378	host	sth
gene-PA1072	109	251	89	82	host	braE
gene-PA3123	11	19	17	14	host	gene-PA3123
gene-PA0582	51	123	125	105	host	folB
gene-PA2690	21	41	29	24	host	gene-PA2690
gene-PA0772	83	146	73	67	host	recO
gene-F358_gp61	2744	7347	11987	10217	phage	gene-F358_gp61
gene-PA2634	55	102	97	78	host	aceA
gene-PA4296	5	34	34	15	host	pprB
gene-PA1602	21	26	6	9	host	gene-PA1602
gene-PA4639	54	101	96	88	host	gene-PA4639
gene-PA4096	3	6	6	6	host	gene-PA4096
gene-PA5018	39	94	105	54	host	msrA
gene-PA2280	36	82	69	32	host	gene-PA2280
gene-PA1089	102	212	151	107	host	gene-PA1089
gene-PA5211	8	35	47	25	host	gene-PA5211
gene-PA0933	205	490	387	336	host	ygcA
gene-PA2212	4	13	7	4	host	gene-PA2212
gene-F358_gp36	248	455	1848	1865	phage	gene-F358_gp36
gene-PA4171	3	10	6	4	host	gene-PA4171
gene-PA1999	14	16	30	10	host	dhcA
gene-PA3417	3	3	2	2	host	gene-PA3417
gene-PA5316.1	508	947	614	661	host	gene-PA5316.1
gene-PA5271	18	58	53	39	host	gene-PA5271
gene-PA3475	14	37	51	31	host	pheC
gene-PA1287	28	73	57	76	host	gene-PA1287
gene-PA0654	126	294	337	291	host	speD
gene-PA1619	10	39	26	22	host	gene-PA1619
gene-PA3199	34	90	79	59	host	gene-PA3199
gene-PA3875	13	40	86	55	host	narG
gene-PA4806	27	43	47	52	host	gene-PA4806
gene-PA4332	98	315	331	232	host	gene-PA4332
gene-PA0534	38	84	92	55	host	gene-PA0534
gene-PA1080	168	310	233	176	host	flgE
gene-PA1849	2	5	8	3	host	gene-PA1849
gene-PA3723	4	19	23	9	host	gene-PA3723
gene-PA2067	1	6	4	5	host	gene-PA2067
gene-PA2838	2	3	9	4	host	gene-PA2838
gene-PA2323	72	164	171	152	host	gene-PA2323
gene-PA1550	34	103	135	109	host	gene-PA1550
gene-PA3473	27	58	55	48	host	gene-PA3473
gene-PA1483	106	188	177	95	host	cycH
gene-PA1180	150	397	297	236	host	phoQ
gene-PA4278	43	107	107	93	host	gene-PA4278
gene-PA3194	216	397	223	172	host	edd
gene-PA1093	204	438	450	369	host	gene-PA1093
gene-PA3028	64	137	92	88	host	moeA2
gene-PA3010	54	124	88	89	host	gene-PA3010
gene-PA1427	9	49	32	39	host	gene-PA1427
gene-PA0578	86	199	125	91	host	gene-PA0578
gene-PA4011	51	117	110	91	host	gene-PA4011
gene-PA4704	23	47	48	55	host	cbpA
gene-PA3119	14	45	19	23	host	gene-PA3119
gene-PA2023	111	267	232	237	host	galU
gene-PA5383	2	11	11	14	host	gene-PA5383
gene-PA0180	25	65	62	63	host	cttP
gene-PA5397	5	13	17	10	host	gene-PA5397
gene-PA0996	233	409	249	166	host	pqsA
gene-PA3538	78	195	189	178	host	gene-PA3538
gene-PA3240	7	27	27	24	host	gene-PA3240
gene-PA3408	7	24	36	18	host	hasR
gene-PA4042	38	54	40	22	host	xseB
gene-PA3008	44	115	76	65	host	gene-PA3008
gene-PA4279	75	137	168	157	host	gene-PA4279
gene-PA2315	3	2	5	3	host	gene-PA2315
gene-PA2170	3	2	1	0	host	gene-PA2170
gene-PA4271	1410	1684	1259	1145	host	rplL
gene-PA1459	120	256	198	198	host	gene-PA1459
gene-PA3813	203	436	222	176	host	iscU
gene-PA3617	449	1124	574	614	host	recA
gene-PA3679	35	60	57	69	host	gene-PA3679
gene-PA0668	1012	2239	2545	2211	host	tyrZ
gene-PA5081	16	41	28	28	host	gene-PA5081
gene-PA3892	8	24	18	18	host	gene-PA3892
gene-PA3676	42	133	106	92	host	gene-PA3676
gene-PA4259	831	1322	937	960	host	rpsS
gene-PA0149	5	12	14	10	host	gene-PA0149
gene-PA0370	44	111	102	93	host	gene-PA0370
gene-PA4731	32	59	48	41	host	panD
gene-PA4539	123	222	225	173	host	gene-PA4539
gene-PA0823	12	28	21	32	host	gene-PA0823
gene-PA3422	9	18	43	24	host	gene-PA3422
gene-PA4787	148	617	520	384	host	gene-PA4787
gene-PA5201	269	546	528	439	host	gene-PA5201
gene-PA4788	3	2	12	2	host	gene-PA4788
gene-PA3065	6	12	5	11	host	gene-PA3065
gene-PA5181.1	55	134	138	160	host	gene-PA5181.1
gene-PA2732	400	770	857	676	host	gene-PA2732
gene-PA0517	22	40	85	62	host	nirC
gene-PA2455	50	119	153	96	host	gene-PA2455
gene-PA3635	369	761	850	746	host	eno
gene-PA5364	96	230	230	236	host	gene-PA5364
gene-PA0742	4	21	5	7	host	gene-PA0742
gene-PA3050	84	181	167	104	host	pyrD
gene-PA0005	65	163	189	148	host	lptA
gene-PA1653	10	44	46	46	host	gene-PA1653
gene-PA3668	11	28	15	23	host	gene-PA3668
gene-PA1811	127	263	268	232	host	gene-PA1811
gene-PA3811	115	301	180	185	host	hscB
gene-PA2162	6	14	21	14	host	gene-PA2162
gene-PA0526	9	33	40	19	host	gene-PA0526
gene-PA3078	29	58	44	49	host	gene-PA3078
gene-PA1190	10	30	21	17	host	gene-PA1190
gene-PA2884	21	91	116	86	host	gene-PA2884
gene-PA3986	12	31	30	33	host	gene-PA3986
gene-PA2477	7	15	10	14	host	gene-PA2477
gene-PA4695	130	267	239	203	host	ilvH
gene-PA4437	13	37	33	19	host	gene-PA4437
gene-PA0210	1	2	0	0	host	mdcC
gene-PA0440	6	24	20	20	host	gene-PA0440
gene-PA3412	1	5	3	3	host	gene-PA3412
gene-PA4941	377	832	725	686	host	hflC
gene-PA2054	4	12	20	19	host	cynR
gene-PA2676	11	10	6	5	host	gene-PA2676
gene-PA1496	17	65	47	34	host	gene-PA1496
gene-PA3712	7	11	20	15	host	gene-PA3712
gene-PA1661	56	88	167	128	host	gene-PA1661
gene-PA2700	3	7	13	1	host	opdB
gene-PA5160.1	38227	11709	2290	5624	host	gene-PA5160.1
gene-PA5227.1	633	1504	1778	1402	host	ssrS
gene-PA3210	58	195	137	135	host	trkH
gene-PA0260	197	457	426	329	host	gene-PA0260
gene-PA2245	4	7	11	7	host	pslO
gene-PA5304	169	485	994	844	host	dadA
gene-PA3418	1	13	19	13	host	ldh
gene-PA1537	3	10	19	15	host	gene-PA1537
gene-PA4045	55	98	73	94	host	gene-PA4045
gene-PA0662	162	387	486	366	host	argC
gene-PA0723	10	10	15	16	host	coaB
gene-PA0648	26	69	59	78	host	gene-PA0648
gene-PA3047	81	181	136	112	host	gene-PA3047
gene-PA0969	309	628	614	483	host	tolQ
gene-PA2198	2	11	7	7	host	gene-PA2198
gene-PA1615	19	57	69	76	host	gene-PA1615
gene-PA1886	66	168	163	136	host	polB
gene-PA4577	47	105	154	155	host	gene-PA4577
gene-PA0308	40	104	103	69	host	gene-PA0308
gene-PA5461	87	229	156	166	host	gene-PA5461
gene-PA4196	24	37	91	68	host	bfiR
gene-PA2213	1	13	4	5	host	gene-PA2213
gene-PA1955	6	4	6	5	host	gene-PA1955
gene-PA3794	13	38	32	31	host	gene-PA3794
gene-PA4593	15	49	50	41	host	gene-PA4593
gene-PA4830	5	17	15	12	host	gene-PA4830
gene-PA0418	79	175	119	99	host	gene-PA0418
gene-PA0205	3	13	16	13	host	gene-PA0205
gene-F358_gp17	1973	4617	4157	4012	phage	gene-F358_gp17
gene-PA3520	0	1	0	0	host	gene-PA3520
gene-PA2276	8	47	28	17	host	gene-PA2276
gene-PA3245	437	1083	1995	1278	host	minE
gene-PA3809	108	276	129	139	host	fdx2
gene-PA3377	5	3	9	6	host	gene-PA3377
gene-PA2869	24	73	51	38	host	gene-PA2869
gene-PA0791	22	35	28	25	host	gene-PA0791
gene-PA4657	19	37	55	50	host	gene-PA4657
gene-PA4183	18	28	33	13	host	gene-PA4183
gene-F358_gp08	1795	4265	9794	9487	phage	gene-F358_gp08
gene-PA2075	9	30	28	24	host	gene-PA2075
gene-PA4250	857	1256	1125	963	host	rpsN
gene-PA1856	61	146	147	148	host	gene-PA1856
gene-PA4737	6	13	9	15	host	gene-PA4737
gene-PA5318	7	26	19	28	host	gene-PA5318
gene-PA1439	25	76	80	61	host	gene-PA1439
gene-PA0593	169	444	510	443	host	pdxA
gene-PA1585	964	1762	1746	1326	host	sucA
gene-PA3537	95	190	127	87	host	argF
gene-PA1435	4	6	9	5	host	gene-PA1435
gene-PA1592	143	275	299	279	host	gene-PA1592
gene-PA3786	31	90	122	79	host	gene-PA3786
gene-PA4475	44	152	166	147	host	gene-PA4475
gene-PA2053	0	3	5	1	host	cynT
gene-PA2384	6	5	11	1	host	gene-PA2384
gene-PA3746	260	515	453	305	host	ffh
gene-PA3467	4	17	12	7	host	gene-PA3467
gene-PA2408	6	3	21	20	host	gene-PA2408
gene-PA0138	5	13	8	20	host	gene-PA0138
gene-PA2292	1	6	5	2	host	gene-PA2292
gene-PA3984	90	171	188	143	host	lnt
gene-PA0225	12	20	21	18	host	gene-PA0225
gene-PA0647	25	42	38	35	host	gene-PA0647
gene-PA5154	53	138	45	39	host	gene-PA5154
gene-PA3416	2	3	1	9	host	gene-PA3416
gene-PA0291	285	503	309	323	host	oprE
gene-PA2239	103	176	179	126	host	pslI
gene-PA1453	164	365	503	333	host	flhF
gene-PA0965	184	360	237	162	host	ruvC
gene-PA4726.2	2839	3393	1613	1222	host	gene-PA4726.2
gene-PA2916	0	4	8	1	host	gene-PA2916
gene-PA0011	86	177	145	101	host	gene-PA0011
gene-PA5127	85	217	202	170	host	gene-PA5127
gene-PA3337	39	119	176	138	host	rfaD
gene-PA1895	19	41	72	68	host	gene-PA1895
gene-PA5295	198	383	352	276	host	gene-PA5295
gene-PA1008	117	269	252	172	host	bcp
gene-PA4297	34	63	79	75	host	tadG
gene-PA0052	1	0	1	4	host	gene-PA0052
gene-PA0102	33	88	61	60	host	gene-PA0102
gene-PA4562	50	147	157	182	host	gene-PA4562
gene-PA3203	25	59	57	57	host	gene-PA3203
gene-PA0474	1	2	2	2	host	gene-PA0474
gene-PA0417	25	51	41	36	host	chpE
gene-PA2576	12	33	56	39	host	gene-PA2576
gene-PA1660	77	80	148	122	host	gene-PA1660
gene-PA3152	128	297	255	202	host	hisH2
gene-PA5023	38	113	79	57	host	gene-PA5023
gene-PA1181	137	285	283	222	host	gene-PA1181
gene-PA3780	4	13	15	5	host	gene-PA3780
gene-PA3045	3	14	12	13	host	gene-PA3045
gene-PA4705	16	36	23	25	host	gene-PA4705
gene-PA0293	34	92	78	71	host	aguB
gene-PA1061	38	80	87	100	host	gene-PA1061
gene-PA0836	46	107	145	147	host	ackA
gene-PA1521	13	41	48	40	host	gene-PA1521
gene-PA3038	58	99	30	30	host	gene-PA3038
gene-PA5356	18	50	53	38	host	glcC
gene-PA0762	1549	3189	3549	3501	host	algU
gene-PA2853	1741	2592	3034	2803	host	oprI
gene-PA1764	9	27	38	23	host	gene-PA1764
gene-PA0350	18	39	46	53	host	folA
gene-PA3642	155	286	247	192	host	rnhB
gene-PA1228	34	53	63	68	host	gene-PA1228
gene-PA3777	51	107	100	83	host	xseA
gene-PA4292	237	440	388	326	host	gene-PA4292
gene-PA2910	4	13	13	11	host	gene-PA2910
gene-PA4802.1	19	45	42	19	host	gene-PA4802.1
gene-PA4797	19	32	42	26	host	gene-PA4797
gene-PA3867	21	38	43	28	host	gene-PA3867
gene-PA3533	89	162	99	98	host	gene-PA3533
gene-PA0604	265	561	256	262	host	gene-PA0604
gene-PA5320	207	448	316	245	host	coaC
gene-PA4291	160	346	223	181	host	gene-PA4291
gene-PA1416	15	60	35	35	host	gene-PA1416
gene-PA3258	43	107	85	65	host	gene-PA3258
gene-PA2548	5	24	21	17	host	gene-PA2548
gene-PA2038	19	28	39	25	host	gene-PA2038
gene-PA2933	0	1	6	5	host	gene-PA2933
gene-PA0309	45	112	121	83	host	gene-PA0309
gene-PA4959	405	833	629	516	host	fimX
gene-PA3819	82	227	200	206	host	gene-PA3819
gene-PA0048	15	33	28	26	host	gene-PA0048
gene-PA5564	186	447	307	288	host	gidB
gene-PA5282	5	14	5	9	host	gene-PA5282
gene-PA1776	625	1261	1295	1179	host	sigX
gene-PA1721	25	48	54	31	host	pscH
gene-PA4610	36	166	400	324	host	gene-PA4610
gene-PA4107	0	0	1	2	host	gene-PA4107
gene-PA1673	114	280	516	495	host	gene-PA1673
gene-PA2703	3	9	13	7	host	gene-PA2703
gene-PA4622	24	40	48	41	host	gene-PA4622
gene-PA2599	8	26	30	19	host	gene-PA2599
gene-PA4221	12	34	33	31	host	fptA
gene-PA0902	67	128	132	101	host	gene-PA0902
gene-PA0502	35	75	75	65	host	gene-PA0502
gene-PA5326	5	15	9	4	host	gene-PA5326
gene-PA5217	17	44	89	44	host	gene-PA5217
gene-PA2279	16	18	10	12	host	arsC
gene-PA5423	37	110	117	67	host	gene-PA5423
gene-PA0041	324	804	818	632	host	gene-PA0041
gene-PA0929	16	20	47	38	host	gene-PA0929
gene-PA4287	2	8	17	10	host	gene-PA4287
gene-PA5040	603	2178	933	812	host	pilQ
gene-PA2694	6	14	15	10	host	gene-PA2694
gene-PA3699	41	111	109	108	host	gene-PA3699
gene-PA4632	59	164	171	150	host	gene-PA4632
gene-PA0445	12	33	20	32	host	gene-PA0445
gene-PA2829	17	67	67	57	host	gene-PA2829
gene-PA4157	21	51	38	31	host	gene-PA4157
gene-PA1746	26	53	39	33	host	gene-PA1746
gene-PA3999	266	562	483	412	host	dacC
gene-PA5228	59	172	119	97	host	gene-PA5228
gene-PA3766	37	76	59	41	host	gene-PA3766
gene-PA0751	58	139	63	36	host	gene-PA0751
gene-PA1499	2	13	10	7	host	gene-PA1499
gene-PA3745	465	1013	1227	1060	host	rpsP
gene-PA1915	29	71	91	77	host	gene-PA1915
gene-PA1092	1554	3126	2936	2595	host	fliC
gene-PA2582	283	754	743	729	host	gene-PA2582
gene-PA0514	12	20	21	16	host	nirL
gene-PA4232	99	212	158	171	host	ssb
gene-PA0163	37	75	92	38	host	gene-PA0163
gene-PA2965	209	432	456	381	host	fabF1
gene-PA2995	53	125	88	61	host	nqrE
gene-PA4988	55	124	122	133	host	waaA
gene-PA2469	13	49	59	28	host	gene-PA2469
gene-PA3547	1	6	8	6	host	algL
gene-PA0509	44	102	44	41	host	nirN
gene-PA1878	6	22	20	14	host	gene-PA1878
gene-PA2905	21	27	38	33	host	cobH
gene-PA1974	6	15	18	11	host	gene-PA1974
gene-PA5185	55	123	141	113	host	gene-PA5185
gene-PA4944	291	643	606	493	host	hfq
gene-PA1175	5	15	15	4	host	napD
gene-PA0566	14	37	55	44	host	gene-PA0566
gene-PA1426	6	14	19	8	host	gene-PA1426
gene-PA0896	137	345	265	211	host	aruF
gene-PA5406	55	120	130	134	host	gene-PA5406
gene-PA2975	201	412	242	245	host	rluC
gene-PA4960	155	351	306	273	host	gene-PA4960
gene-PA0166	17	24	28	20	host	gene-PA0166
gene-PA1337	84	132	73	56	host	ansB
gene-PA1410	17	37	17	18	host	gene-PA1410
gene-PA4421	354	771	784	832	host	gene-PA4421
gene-PA0870	126	291	195	192	host	phhC
gene-PA4131	63	120	403	237	host	gene-PA4131
gene-PA5437	88	180	126	108	host	gene-PA5437
gene-PA4924	106	176	171	163	host	gene-PA4924
gene-PA3943	42	101	79	59	host	gene-PA3943
gene-PA2060	1	6	3	3	host	gene-PA2060
gene-PA4459	287	734	729	596	host	gene-PA4459
gene-PA3952	17	35	58	38	host	gene-PA3952
gene-PA1358	22	81	46	46	host	gene-PA1358
gene-PA2655	4	15	9	7	host	gene-PA2655
gene-PA4923	44	78	80	67	host	gene-PA4923
gene-PA1654	106	288	368	276	host	gene-PA1654
gene-PA2114	42	103	161	121	host	gene-PA2114
gene-PA2464	47	80	72	60	host	gene-PA2464
gene-PA2988	158	325	221	206	host	gene-PA2988
gene-PA5174	630	1316	899	770	host	gene-PA5174
gene-PA1618	8	26	10	12	host	gene-PA1618
gene-PA1873	2	17	19	16	host	gene-PA1873
gene-PA4676	33	96	113	78	host	gene-PA4676
gene-PA1048	103	311	313	241	host	gene-PA1048
gene-PA3423	4	26	28	18	host	gene-PA3423
gene-PA4766	15	30	39	38	host	gene-PA4766
gene-PA0346	9	18	10	2	host	gene-PA0346
gene-PA1566	25	30	13	12	host	gene-PA1566
gene-PA0848	8	16	22	19	host	gene-PA0848
gene-PA1720	32	91	94	44	host	pscG
gene-PA2800	129	240	320	219	host	gene-PA2800
gene-PA5147	135	288	246	229	host	mutY
gene-PA1569	4	15	12	11	host	gene-PA1569
gene-PA2405	6	14	33	5	host	gene-PA2405
gene-PA4206	5	13	21	20	host	mexH
gene-PA1914	13	23	24	11	host	gene-PA1914
gene-PA5476	52	128	73	85	host	citA
gene-PA5449	56	108	52	45	host	wbpX
gene-PA3017	21	55	70	59	host	gene-PA3017
gene-PA1783	3	8	7	7	host	nasA
gene-PA4716	34	100	91	64	host	gene-PA4716
gene-PA3251	0	5	2	5	host	gene-PA3251
gene-PA4860	2	3	3	3	host	gene-PA4860
gene-PA1377	10	62	55	33	host	gene-PA1377
gene-PA4730	43	102	130	86	host	panC
gene-PA1978	18	53	25	19	host	erbR
gene-PA0135	1	4	4	1	host	gene-PA0135
gene-PA4195	5	22	33	27	host	gene-PA4195
gene-PA5312	382	822	931	688	host	gene-PA5312
gene-PA5467	7	38	27	23	host	gene-PA5467
gene-PA0113	16	63	44	49	host	gene-PA0113
gene-PA4304	7	9	24	17	host	rcpA
gene-PA4843	349	935	791	627	host	gene-PA4843
gene-PA2369	2	3	9	12	host	gene-PA2369
gene-PA5568	1041	2253	1332	1192	host	gene-PA5568
gene-PA0200	54	172	169	77	host	gene-PA0200
gene-PA0129	40	83	77	71	host	gabP
gene-PA0069	23	59	57	44	host	gene-PA0069
gene-PA1519	10	29	36	12	host	gene-PA1519
gene-PA5156	39	103	78	74	host	gene-PA5156
gene-PA3656	913	1417	1540	1325	host	rpsB
gene-PA3117	229	518	350	303	host	asd
gene-PA3267	79	191	177	153	host	gene-PA3267
gene-PA0349	11	21	17	15	host	gene-PA0349
gene-PA2913	14	27	25	23	host	gene-PA2913
gene-PA3970	42	107	120	93	host	amn
gene-PA1125	22	47	62	44	host	gene-PA1125
gene-PA3888	4	7	21	14	host	gene-PA3888
gene-PA3576	6	19	29	22	host	gene-PA3576
gene-PA3647	237	484	364	290	host	gene-PA3647
gene-PA1131	8	20	25	20	host	gene-PA1131
gene-PA4781	23	42	29	42	host	gene-PA4781
gene-PA1141	21	50	44	45	host	gene-PA1141
gene-PA4916	12	35	36	46	host	gene-PA4916
gene-PA4025	9	10	16	8	host	gene-PA4025
gene-PA1937	19	26	40	35	host	gene-PA1937
gene-PA3244	707	2062	2641	2060	host	minD
gene-PA3350	32	156	178	111	host	gene-PA3350
gene-PA4953	166	408	313	247	host	motB
gene-PA1828	10	31	21	21	host	gene-PA1828
gene-PA3187	7	17	12	7	host	gene-PA3187
gene-PA2536	47	131	186	153	host	gene-PA2536
gene-PA5506	114	301	300	271	host	gene-PA5506
gene-PA2036	14	32	42	50	host	gene-PA2036
gene-PA4197	39	74	78	71	host	bfiS
gene-PA5349	84	173	189	111	host	gene-PA5349
gene-PA1973	17	47	38	22	host	pqqF
gene-PA0852	37	93	65	58	host	cbpD
gene-PA4073	5	12	17	11	host	gene-PA4073
gene-PA1433	36	86	80	63	host	gene-PA1433
gene-PA2669	11	30	36	25	host	gene-PA2669
gene-PA3140	8	25	42	32	host	gene-PA3140
gene-PA0067	204	480	410	347	host	prlC
gene-PA5507	143	326	212	219	host	gene-PA5507
gene-PA2862	5	6	15	7	host	lipA
gene-PA2973	192	357	276	243	host	gene-PA2973
gene-PA5453	110	212	142	101	host	gmd
gene-PA2030	7	10	23	11	host	gene-PA2030
gene-PA5452	41	109	71	65	host	wbpW
gene-PA1432	131	240	270	216	host	lasI
gene-PA3708	125	276	213	165	host	wspA
gene-PA4224	2	6	1	2	host	pchG
gene-PA4130	39	68	118	80	host	gene-PA4130
gene-PA0229	17	43	45	41	host	pcaT
gene-PA2581	136	297	267	197	host	gene-PA2581
gene-PA1883	4	9	10	4	host	gene-PA1883
gene-PA2726	15	36	45	22	host	gene-PA2726
gene-PA1542	22	44	41	26	host	gene-PA1542
gene-PA2487	2	9	5	3	host	gene-PA2487
gene-PA3793	36	97	85	97	host	gene-PA3793
gene-PA4014	25	53	58	41	host	gene-PA4014
gene-PA0536	60	90	95	116	host	gene-PA0536
gene-PA2789	13	37	31	42	host	gene-PA2789
gene-PA4997	322	740	500	416	host	msbA
gene-PA5138	85	197	158	104	host	gene-PA5138
gene-PA0238	9	14	16	20	host	gene-PA0238
gene-PA1516	5	22	17	19	host	gene-PA1516
gene-PA2759	21	75	172	155	host	gene-PA2759
gene-PA3026	22	43	29	19	host	gene-PA3026
gene-PA2063	63	119	103	72	host	gene-PA2063
gene-PA5479	236	591	500	492	host	gltP
gene-PA4373	70	220	338	304	host	gene-PA4373
gene-PA4964	466	927	660	606	host	parC
gene-PA1186	9	7	12	5	host	gene-PA1186
gene-PA4125	3	10	7	5	host	hpcD
gene-PA4764	294	610	395	330	host	fur
gene-PA1028	10	34	29	18	host	gene-PA1028
gene-PA1893	11	44	67	39	host	gene-PA1893
gene-PA2767	3	6	7	4	host	gene-PA2767
gene-PA4392	11	30	41	31	host	gene-PA4392
gene-PA5554	2209	3789	3377	2935	host	atpD
