# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR17196372_sorted.bam" "SRR17196375_sorted.bam" "SRR17196376_sorted.bam" "SRR17196373_sorted.bam" "SRR17196381_sorted.bam" "SRR17196368_sorted.bam" "SRR17196384_sorted.bam" "SRR17196370_sorted.bam" "SRR17196379_sorted.bam" "SRR17196369_sorted.bam" "SRR17196371_sorted.bam" "SRR17196367_sorted.bam" "SRR17196382_sorted.bam" "SRR17196365_sorted.bam" "SRR17196374_sorted.bam" "SRR17196378_sorted.bam" "SRR17196385_sorted.bam" "SRR17196380_sorted.bam" "SRR17196377_sorted.bam" "SRR17196383_sorted.bam" "SRR17196366_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR17196372_sorted.bam	SRR17196375_sorted.bam	SRR17196376_sorted.bam	SRR17196373_sorted.bam	SRR17196381_sorted.bam	SRR17196368_sorted.bam	SRR17196384_sorted.bam	SRR17196370_sorted.bam	SRR17196379_sorted.bam	SRR17196369_sorted.bam	SRR17196371_sorted.bam	SRR17196367_sorted.bam	SRR17196382_sorted.bam	SRR17196365_sorted.bam	SRR17196374_sorted.bam	SRR17196378_sorted.bam	SRR17196385_sorted.bam	SRR17196380_sorted.bam	SRR17196377_sorted.bam	SRR17196383_sorted.bam	SRR17196366_sorted.bam
gene-SAURSH1000_RS07135	NZ_CP059180.1	1497173	1498447	-	1275	1418	1914	569	876	659	1338	593	1062	355	1114	1605	989	207	1119	1439	2316	98	484	1066	262	1732
gene-SAURSH1000_RS07140	NZ_CP059180.1	1498460	1499443	-	984	909	1261	346	529	479	838	466	761	178	776	925	672	120	777	920	1461	70	293	824	154	1083
gene-SAURSH1000_RS07145	NZ_CP059180.1	1499443	1500435	-	993	929	1298	399	503	426	827	462	762	273	725	915	718	139	724	953	1564	72	270	938	121	1238
gene-SAURSH1000_RS07150	NZ_CP059180.1	1500451	1501872	-	1422	975	1199	348	589	401	895	461	769	278	722	955	623	109	617	1198	1503	62	254	1044	132	1222
gene-SAURSH1000_RS07155	NZ_CP059180.1	1502023	1503702	-	1680	864	1077	298	604	375	976	377	818	255	720	1007	625	108	583	1383	1188	39	214	1113	124	1384
gene-SAURSH1000_RS07160	NZ_CP059180.1	1503718	1504170	-	453	196	243	83	162	66	252	85	171	71	176	255	142	12	146	327	246	9	59	231	29	313
gene-SAURSH1000_RS07165	NZ_CP059180.1	1504602	1505483	-	882	1588	1848	580	941	314	1605	338	1244	297	1122	1688	1054	92	1266	1755	1201	62	209	671	189	1121
gene-SAURSH1000_RS07170	NZ_CP059180.1	1505461	1505691	-	231	539	584	152	290	102	581	108	373	75	376	552	318	30	367	573	376	21	71	211	53	337
gene-SAURSH1000_RS07175	NZ_CP059180.1	1505684	1507021	-	1338	1726	2166	674	1134	387	1942	454	1423	279	1298	2011	1258	143	1359	2028	1484	76	257	827	271	1157
gene-SAURSH1000_RS07180	NZ_CP059180.1	1507038	1507427	-	390	709	806	237	501	182	843	192	579	121	560	912	550	57	493	897	641	30	112	407	103	498
gene-SAURSH1000_RS07185	NZ_CP059180.1	1507487	1507849	-	363	649	701	214	502	143	666	143	610	116	496	739	434	43	482	854	513	27	106	374	64	428
gene-SAURSH1000_RS07190	NZ_CP059180.1	1507864	1509219	-	1356	2160	2676	923	1595	527	2086	548	1833	425	1822	2633	1743	201	1877	2334	2097	125	389	1110	247	1583
gene-SAURSH1000_RS07195	NZ_CP059180.1	1509219	1509683	-	465	675	905	309	536	164	712	198	563	140	542	847	617	67	584	711	671	39	114	337	72	528
gene-SAURSH1000_RS07200	NZ_CP059180.1	1510157	1510714	-	558	2634	3649	2909	3586	1340	7430	1052	3058	1651	2235	17300	3151	771	3578	6808	3890	373	1573	4473	1358	2607
gene-SAURSH1000_RS07205	NZ_CP059180.1	1510740	1511801	-	1062	713	711	377	702	212	921	290	765	199	797	1091	612	80	521	988	672	36	167	575	128	612
gene-SAURSH1000_RS07210	NZ_CP059180.1	1511906	1512487	+	582	174	201	111	244	75	388	54	221	46	153	389	198	17	165	456	187	17	44	279	50	195
gene-SAURSH1000_RS07215	NZ_CP059180.1	1512501	1512719	+	219	80	87	79	126	43	210	30	131	28	95	216	128	23	98	227	97	11	37	137	42	85
gene-SAURSH1000_RS07220	NZ_CP059180.1	1512783	1513613	-	831	303	338	138	292	110	382	98	237	100	275	426	243	45	222	490	345	17	73	263	68	255
gene-SAURSH1000_RS07225	NZ_CP059180.1	1513771	1514157	+	387	744	988	673	1200	306	2515	329	1039	294	644	2367	1032	138	1142	2162	923	87	357	1237	347	1088
gene-SAURSH1000_RS07230	NZ_CP059180.1	1514522	1515994	-	1473	1005	1114	1577	3476	458	4104	548	4357	946	950	4300	4129	458	3434	3951	1497	289	475	1690	298	1446
gene-SAURSH1000_RS07235	NZ_CP059180.1	1515987	1517333	-	1347	866	941	1423	2941	406	3476	464	3892	833	810	3877	3874	403	2873	3718	1224	238	403	1702	237	1250
gene-SAURSH1000_RS07240	NZ_CP059180.1	1517353	1518444	-	1092	517	517	937	1759	209	2247	230	2436	528	561	2495	2204	189	1503	2730	698	114	210	1290	139	679
gene-SAURSH1000_RS07245	NZ_CP059180.1	1518603	1519127	-	525	94	95	141	203	59	425	66	127	82	93	420	231	76	214	443	168	49	200	315	120	169
gene-SAURSH1000_RS07250	NZ_CP059180.1	1519117	1519263	-	147	3	7	1	2	1	12	3	6	1	4	12	5	2	7	10	9	0	3	0	2	7
gene-SAURSH1000_RS07255	NZ_CP059180.1	1519360	1519857	-	498	4	4	7	8	1	10	2	6	0	8	12	6	2	4	11	7	0	2	9	0	2
gene-SAURSH1000_RS07260	NZ_CP059180.1	1519775	1520074	-	300	1	4	4	7	0	9	2	8	0	2	3	3	1	7	14	3	0	0	5	1	3
gene-SAURSH1000_RS07265	NZ_CP059180.1	1520061	1520507	-	447	5	5	4	4	1	7	0	5	2	5	4	3	0	4	6	7	0	1	3	1	1
gene-SAURSH1000_RS07270	NZ_CP059180.1	1520485	1520796	-	312	4	4	1	1	2	6	0	4	1	4	3	3	0	2	4	4	0	0	2	0	0
gene-SAURSH1000_RS07280	NZ_CP059180.1	1521852	1522826	-	975	22	24	8	20	10	19	9	16	3	35	22	19	1	13	34	25	2	7	13	1	18
gene-SAURSH1000_RS07285	NZ_CP059180.1	1522878	1523501	-	624	654	766	418	725	342	1085	297	853	255	570	1193	651	150	684	1218	971	86	343	903	242	598
gene-SAURSH1000_RS07290	NZ_CP059180.1	1523498	1523827	-	330	404	388	200	394	171	534	160	453	113	358	580	324	54	304	643	465	33	91	418	67	348
gene-SAURSH1000_RS07295	NZ_CP059180.1	1523827	1524813	-	987	982	1038	524	1053	372	1352	418	1062	332	939	1496	1071	156	969	1611	1224	77	289	1031	165	997
gene-SAURSH1000_RS07300	NZ_CP059180.1	1524810	1525013	-	204	181	200	78	183	63	213	62	213	45	171	247	172	15	149	360	174	10	41	239	28	191
gene-SAURSH1000_RS07305	NZ_CP059180.1	1524994	1526457	-	1464	647	723	260	705	252	955	230	725	169	616	1017	628	81	544	1439	709	29	177	871	135	661
gene-SAURSH1000_RS07310	NZ_CP059180.1	1526469	1527008	-	540	114	155	61	126	45	246	56	127	35	90	209	115	16	113	300	149	13	42	178	33	169
gene-SAURSH1000_RS07315	NZ_CP059180.1	1527217	1527366	-	150	2053	4104	2412	2499	624	5568	657	1316	931	1813	6054	2451	456	4536	4553	3299	215	1106	2208	859	1521
gene-SAURSH1000_RS07320	NZ_CP059180.1	1527479	1529554	-	2076	1132	1273	433	897	375	1252	388	1198	271	1067	1310	1108	84	876	1335	1023	65	247	896	182	1577
gene-SAURSH1000_RS07325	NZ_CP059180.1	1529675	1530274	-	600	3292	4558	3159	4267	1501	5752	1336	3665	1905	2905	5793	4141	1236	3571	4666	3969	572	1805	3611	1458	2852
gene-SAURSH1000_RS07330	NZ_CP059180.1	1530550	1530960	-	411	152	209	46	93	35	191	32	105	17	169	179	86	9	89	192	120	6	26	64	22	109
gene-SAURSH1000_RS07335	NZ_CP059180.1	1530947	1531810	-	864	281	384	68	144	59	269	66	143	29	260	286	128	12	147	268	188	7	25	114	63	181
gene-SAURSH1000_RS07340	NZ_CP059180.1	1531852	1532637	-	786	224	318	46	99	49	199	40	143	23	218	225	106	9	120	249	180	12	31	105	23	128
gene-SAURSH1000_RS07345	NZ_CP059180.1	1532763	1533653	-	891	1176	1366	370	638	201	850	235	702	155	1070	1047	652	98	701	961	864	42	185	473	124	781
gene-SAURSH1000_RS07350	NZ_CP059180.1	1533663	1535009	-	1347	1385	1525	341	700	238	922	255	808	182	1190	1120	801	76	846	1030	1099	39	218	554	136	906
gene-SAURSH1000_RS07355	NZ_CP059180.1	1535123	1536223	-	1101	737	858	169	357	122	447	137	350	82	586	473	286	43	306	517	503	25	76	229	60	444
gene-SAURSH1000_RS07360	NZ_CP059180.1	1536226	1536903	-	678	319	402	74	139	72	140	72	144	33	230	201	135	20	109	192	226	8	34	102	42	178
gene-SAURSH1000_RS07365	NZ_CP059180.1	1537034	1538140	-	1107	2207	2631	751	1373	502	2148	529	1458	306	1894	2362	1182	152	1311	1847	1742	90	357	917	358	1416
gene-SAURSH1000_RS07370	NZ_CP059180.1	1538364	1540163	-	1800	1670	1908	429	923	512	1617	551	1196	201	1650	1548	892	88	1040	1452	1467	57	303	801	261	1267
gene-SAURSH1000_RS07375	NZ_CP059180.1	1540224	1541042	-	819	253	340	134	255	135	394	127	279	102	244	464	220	49	200	478	405	21	74	355	56	337
gene-SAURSH1000_RS07380	NZ_CP059180.1	1541053	1541676	-	624	172	210	101	186	94	225	68	195	83	175	293	171	36	123	321	272	16	48	223	28	225
gene-SAURSH1000_RS07385	NZ_CP059180.1	1542011	1543402	+	1392	3225	3995	2599	4300	920	5822	927	3414	1116	2986	6180	3845	608	4038	5562	4229	392	986	2767	832	3108
gene-SAURSH1000_RS07390	NZ_CP059180.1	1543552	1544298	-	747	451	514	262	407	208	579	167	487	140	470	639	360	61	405	664	500	22	104	468	86	462
gene-SAURSH1000_RS07395	NZ_CP059180.1	1544326	1545225	-	900	659	721	242	454	218	650	233	625	192	598	829	517	70	452	839	627	45	128	504	88	678
gene-SAURSH1000_RS07400	NZ_CP059180.1	1545226	1545630	-	405	292	296	87	182	79	297	83	249	83	210	354	228	28	214	328	276	18	60	185	41	259
gene-SAURSH1000_RS07405	NZ_CP059180.1	1545641	1545985	-	345	207	166	50	163	62	224	60	196	35	184	234	164	17	116	219	187	8	31	166	22	181
gene-SAURSH1000_RS07410	NZ_CP059180.1	1545988	1546455	-	468	280	284	88	192	101	303	97	293	75	279	309	248	28	199	340	289	14	58	224	33	300
gene-SAURSH1000_RS07415	NZ_CP059180.1	1546456	1547403	-	948	380	392	154	312	118	470	141	373	108	350	490	370	51	290	441	359	30	96	294	52	480
gene-SAURSH1000_RS07420	NZ_CP059180.1	1547707	1548405	-	699	2335	2469	767	1057	808	1935	680	1589	492	2106	2314	1298	305	1399	2399	2550	179	585	1715	381	2572
gene-SAURSH1000_RS07425	NZ_CP059180.1	1548422	1549411	-	990	2898	3301	1106	1405	993	2640	1028	1731	646	2671	3080	1728	441	2000	2908	3453	256	790	2147	608	3401
gene-SAURSH1000_RS07430	NZ_CP059180.1	1549429	1550112	-	684	1564	1813	598	970	644	1732	655	1081	375	1551	1885	936	232	1077	2265	2076	136	708	1681	756	1651
gene-SAURSH1000_RS07435	NZ_CP059180.1	1550356	1550532	-	177	7613	11318	8123	10647	3191	20908	3658	6033	3937	8731	21842	10993	2289	18304	14909	12453	1211	6769	9186	4453	9540
gene-SAURSH1000_RS07440	NZ_CP059180.1	1550825	1552171	-	1347	1922	2122	642	1532	360	1643	439	1409	312	1798	1967	1462	129	1362	1467	1488	80	291	684	230	1332
gene-SAURSH1000_RS07445	NZ_CP059180.1	1552178	1552930	-	753	542	489	240	539	89	664	117	698	123	518	644	562	45	566	590	383	35	104	271	68	401
gene-SAURSH1000_RS07450	NZ_CP059180.1	1552932	1553870	-	939	1354	1221	999	1875	271	2664	354	2952	581	1264	2110	2380	266	2430	1899	859	196	306	949	209	910
gene-SAURSH1000_RS07455	NZ_CP059180.1	1553874	1555013	-	1140	1233	1181	813	1432	240	2233	328	2949	534	1288	1626	2400	296	2380	1682	750	156	263	866	166	933
gene-SAURSH1000_RS07460	NZ_CP059180.1	1555149	1556981	-	1833	3558	3928	5347	7974	1034	11285	1430	16106	3537	3652	7898	13579	2143	11831	8078	2940	1462	1325	4579	775	3276
gene-SAURSH1000_RS07465	NZ_CP059180.1	1557050	1557676	-	627	987	1086	1346	2568	316	3757	407	4449	828	1038	2692	3593	495	2984	2656	762	349	351	1394	226	858
gene-SAURSH1000_RS07470	NZ_CP059180.1	1557708	1558685	-	978	824	1191	1630	3184	339	4778	444	4971	877	843	3390	3984	528	3526	3124	810	379	396	1623	298	780
gene-SAURSH1000_RS07475	NZ_CP059180.1	1558786	1559910	-	1125	376	440	94	159	57	266	59	168	35	197	252	137	12	195	271	233	7	29	90	32	151
gene-SAURSH1000_RS07480	NZ_CP059180.1	1560473	1562296	-	1824	2118	2338	682	1520	505	2075	569	1566	320	1900	2385	1467	165	1324	1865	1639	102	425	1107	314	1339
gene-SAURSH1000_RS07485	NZ_CP059180.1	1562642	1562893	+	252	2981	4707	2664	3643	923	7809	896	2183	1145	2610	7944	3157	466	5878	6058	4271	273	1432	3025	1292	2463
gene-SAURSH1000_RS07490	NZ_CP059180.1	1562938	1563912	-	975	294	314	105	191	68	346	78	200	19	259	321	149	20	199	352	212	9	50	160	54	213
gene-SAURSH1000_RS07495	NZ_CP059180.1	1563969	1566170	-	2202	112	80	39	70	36	107	23	81	13	114	105	48	11	61	122	86	3	32	84	29	82
gene-SAURSH1000_RS07500	NZ_CP059180.1	1566175	1566636	-	462	242	303	163	186	82	382	70	155	77	226	397	153	40	187	339	244	17	102	224	75	208
gene-SAURSH1000_RS07505	NZ_CP059180.1	1566728	1567414	-	687	102	91	24	50	15	73	9	55	11	110	54	46	2	41	67	52	2	7	40	8	82
gene-SAURSH1000_RS07510	NZ_CP059180.1	1567454	1568170	-	717	1122	1110	414	934	206	1379	207	1021	195	997	1276	826	79	901	1360	768	48	135	569	146	923
gene-SAURSH1000_RS07515	NZ_CP059180.1	1568173	1568526	-	354	658	714	247	535	119	747	142	569	138	562	811	530	55	514	723	451	31	89	307	66	628
gene-SAURSH1000_RS07520	NZ_CP059180.1	1568527	1569111	-	585	745	839	286	559	141	756	145	685	166	586	822	585	52	626	875	565	33	108	318	76	589
gene-SAURSH1000_RS07525	NZ_CP059180.1	1569101	1569670	-	570	662	787	271	474	144	673	158	646	128	505	694	542	67	531	776	526	36	91	277	75	499
gene-SAURSH1000_RS07530	NZ_CP059180.1	1569673	1569963	-	291	295	310	106	185	60	297	68	268	42	182	291	198	25	211	367	219	17	46	129	35	190
gene-SAURSH1000_RS07535	NZ_CP059180.1	1569967	1570773	-	807	670	753	257	508	135	679	152	612	123	532	721	483	59	528	885	535	23	110	322	75	408
gene-SAURSH1000_RS07540	NZ_CP059180.1	1570787	1571887	-	1101	1065	1250	415	868	230	1110	267	954	218	848	1278	828	96	809	1314	1006	56	167	518	132	621
gene-SAURSH1000_RS07545	NZ_CP059180.1	1571888	1572415	-	528	479	604	229	455	126	526	161	451	93	357	651	384	44	356	636	522	33	93	261	60	304
gene-SAURSH1000_RS07550	NZ_CP059180.1	1572435	1573121	-	687	412	577	208	392	120	504	136	401	82	354	561	351	46	346	616	481	24	78	316	69	339
gene-SAURSH1000_RS07555	NZ_CP059180.1	1573435	1573704	+	270	20	24	13	20	5	34	7	18	1	12	40	16	1	17	42	21	1	5	17	4	14
gene-SAURSH1000_RS07560	NZ_CP059180.1	1573906	1574658	-	753	16	40	19	32	14	48	4	37	5	27	72	24	3	23	81	35	1	13	39	12	12
gene-SAURSH1000_RS07565	NZ_CP059180.1	1575072	1576292	-	1221	70	103	69	106	28	181	35	91	35	58	192	81	11	86	239	113	1	25	151	29	48
gene-SAURSH1000_RS07570	NZ_CP059180.1	1576581	1577810	-	1230	96	93	243	324	107	444	70	407	159	110	436	340	71	298	661	295	40	153	511	93	200
gene-SAURSH1000_RS07575	NZ_CP059180.1	1577823	1578575	-	753	62	87	179	283	71	311	60	265	125	70	314	296	68	241	534	220	36	80	315	32	185
gene-SAURSH1000_RS07580	NZ_CP059180.1	1578575	1579936	-	1362	89	130	243	336	73	403	62	445	155	104	488	464	89	366	685	288	46	75	454	45	279
gene-SAURSH1000_RS07585	NZ_CP059180.1	1579950	1580399	-	450	19	33	60	79	11	122	12	95	36	24	140	107	15	88	184	56	2	16	106	8	78
gene-SAURSH1000_RS07590	NZ_CP059180.1	1580401	1581411	-	1011	43	50	110	179	34	223	13	266	87	58	282	235	36	190	343	115	22	33	209	22	119
gene-SAURSH1000_RS07595	NZ_CP059180.1	1581401	1582135	-	735	49	52	87	165	20	235	11	163	62	44	276	190	29	132	300	72	15	23	162	18	91
gene-SAURSH1000_RS07600	NZ_CP059180.1	1582461	1582937	-	477	2085	2330	678	1110	329	1740	345	942	376	1633	2217	994	144	1212	1849	1268	82	350	843	281	1297
gene-SAURSH1000_RS07605	NZ_CP059180.1	1582965	1583588	-	624	1449	1671	352	630	200	867	204	654	180	1111	1049	617	98	689	879	690	40	161	384	138	777
gene-SAURSH1000_RS07610	NZ_CP059180.1	1583588	1584856	-	1269	2335	2465	452	811	339	1237	379	912	238	1802	1393	878	102	1045	1079	1269	80	246	549	231	976
gene-SAURSH1000_RS07615	NZ_CP059180.1	1584868	1585791	-	924	1483	1488	250	596	258	863	281	671	110	1239	919	498	54	640	764	849	28	180	389	144	620
gene-SAURSH1000_RS07620	NZ_CP059180.1	1585794	1586432	-	639	546	577	110	226	97	397	111	254	35	425	410	188	15	220	371	359	8	77	199	72	251
gene-SAURSH1000_RS07625	NZ_CP059180.1	1586717	1587025	-	309	921	944	524	831	257	1292	256	844	240	918	1353	817	130	907	1244	774	64	209	697	186	953
gene-SAURSH1000_RS07630	NZ_CP059180.1	1587040	1587468	-	429	925	908	381	736	253	1076	222	903	219	897	1163	612	89	568	1075	716	68	161	625	126	814
gene-SAURSH1000_RS07635	NZ_CP059180.1	1587472	1587732	-	261	518	563	249	452	146	618	154	485	128	509	682	410	50	410	533	429	36	92	316	71	516
gene-SAURSH1000_RS07640	NZ_CP059180.1	1587795	1590425	-	2631	1608	2148	741	1168	511	1806	504	1557	479	988	1990	1433	220	1418	1927	1972	154	287	1059	229	1170
gene-SAURSH1000_RS07645	NZ_CP059180.1	1590768	1593245	-	2478	1224	1321	354	601	236	859	207	626	134	904	930	572	44	617	754	813	34	137	411	136	609
gene-SAURSH1000_RS07650	NZ_CP059180.1	1593247	1593915	-	669	300	329	62	203	65	218	39	150	29	237	222	143	10	172	199	209	8	43	103	25	124
gene-SAURSH1000_RS07655	NZ_CP059180.1	1594377	1595495	-	1119	999	1079	320	764	242	756	218	606	173	920	990	550	88	685	691	727	49	144	343	137	498
gene-SAURSH1000_RS07660	NZ_CP059180.1	1595496	1596638	-	1143	833	982	354	663	228	650	187	553	157	926	899	520	65	575	605	759	27	156	329	101	557
gene-SAURSH1000_RS07665	NZ_CP059180.1	1596950	1597963	+	1014	276	198	78	150	44	183	35	125	60	388	194	112	22	134	153	118	10	32	55	26	245
gene-SAURSH1000_RS07670	NZ_CP059180.1	1598200	1598346	-	147	560	304	325	769	394	806	281	1241	341	904	692	739	139	487	1890	563	84	280	2419	173	1199
gene-SAURSH1000_RS07675	NZ_CP059180.1	1598386	1598568	-	183	366	258	246	546	247	625	197	571	266	622	520	629	104	414	1061	406	64	229	1212	89	881
gene-SAURSH1000_RS07680	NZ_CP059180.1	1598668	1599090	-	423	504	569	425	736	257	1319	189	628	172	522	1175	603	76	513	1273	742	44	186	802	183	720
gene-SAURSH1000_RS07685	NZ_CP059180.1	1599175	1600449	+	1275	830	1071	444	628	199	706	219	598	173	775	998	651	81	658	736	970	63	175	449	112	822
gene-SAURSH1000_RS07690	NZ_CP059180.1	1600610	1601383	-	774	572	680	296	507	176	769	179	429	107	593	846	482	48	502	676	514	29	148	356	170	473
gene-SAURSH1000_RS07695	NZ_CP059180.1	1601383	1601511	-	129	47	38	8	25	13	45	10	40	7	45	43	21	3	33	46	29	1	8	22	7	38
gene-SAURSH1000_RS07700	NZ_CP059180.1	1601576	1601766	-	191	13281	16967	15919	22929	8031	38937	11092	10862	8679	19990	42999	26311	7354	45733	33131	27374	4877	23100	26195	11754	33602
gene-SAURSH1000_RS07705	NZ_CP059180.1	1601844	1603610	-	1767	1595	2260	861	1550	359	1776	420	1355	393	1065	2160	1366	165	1492	1754	1571	104	282	762	242	1014
gene-SAURSH1000_RS07710	NZ_CP059180.1	1603626	1604888	-	1263	822	1025	359	621	195	848	197	736	157	497	1005	609	65	587	842	728	27	151	402	111	454
gene-SAURSH1000_RS07715	NZ_CP059180.1	1605349	1606224	-	876	867	1000	380	525	281	866	250	632	125	669	973	495	71	548	762	940	38	178	416	147	576
gene-SAURSH1000_RS07720	NZ_CP059180.1	1606221	1606673	-	453	578	618	206	329	185	467	172	401	107	463	501	328	58	299	497	609	34	95	287	76	359
gene-SAURSH1000_RS07725	NZ_CP059180.1	1606685	1608874	-	2190	1485	1691	504	834	494	1222	502	1052	255	1395	1406	913	115	921	1333	1726	56	314	889	195	1290
gene-SAURSH1000_RS07730	NZ_CP059180.1	1609302	1609820	-	519	490	784	317	525	147	938	150	454	100	397	919	447	66	447	824	593	29	127	356	122	361
gene-SAURSH1000_RS07735	NZ_CP059180.1	1609842	1612115	-	2274	886	1279	381	708	287	1014	309	593	152	680	1092	546	74	580	1108	1147	39	161	521	139	620
gene-SAURSH1000_RS07740	NZ_CP059180.1	1612318	1614597	-	2280	3035	3645	1341	2720	643	3371	765	2286	483	2622	3947	2353	242	2523	3441	2822	159	615	1434	521	2174
gene-SAURSH1000_RS07745	NZ_CP059180.1	1614872	1615132	-	261	1351	1689	870	1237	445	2396	388	1090	421	1212	2582	1083	277	1441	2256	1587	175	681	1299	573	1185
gene-SAURSH1000_RS07750	NZ_CP059180.1	1615151	1616290	-	1140	3037	3650	1135	2131	593	3154	555	2005	531	2617	4099	2104	147	2110	3617	3008	121	432	1637	424	1685
gene-SAURSH1000_RS07755	NZ_CP059180.1	1616313	1617338	-	1026	1183	1737	309	605	254	794	274	658	209	772	961	577	81	681	984	996	55	153	404	114	751
gene-SAURSH1000_RS07760	NZ_CP059180.1	1617340	1618344	-	1005	1298	1859	325	603	258	857	285	661	206	869	1021	711	96	809	967	1110	56	153	482	118	920
gene-SAURSH1000_RS07765	NZ_CP059180.1	1618376	1618978	-	603	764	1086	184	376	188	504	181	419	126	541	624	413	38	480	539	645	35	103	249	71	505
gene-SAURSH1000_RS07770	NZ_CP059180.1	1618992	1619447	-	456	737	957	178	346	163	459	151	367	89	530	564	341	37	326	523	544	25	95	266	69	480
gene-SAURSH1000_RS07775	NZ_CP059180.1	1619460	1620752	-	1293	1717	2464	457	842	393	1216	408	1003	246	1299	1360	961	124	1033	1138	1469	63	220	548	183	1283
gene-SAURSH1000_RS07780	NZ_CP059180.1	1621107	1621391	-	285	6696	9333	4313	5847	2113	8582	2045	4632	2288	5950	10157	4826	1338	6962	7345	7123	634	2611	3728	1995	4842
gene-SAURSH1000_RS07785	NZ_CP059180.1	1621403	1621723	-	321	6435	9055	3998	4916	1493	7271	1509	4562	1813	5241	8951	4141	822	5591	6168	6221	396	1254	2647	1096	4432
gene-SAURSH1000_RS07790	NZ_CP059180.1	1621729	1622037	-	309	8017	11457	4963	6690	1515	9207	1799	5746	2018	6924	11143	5466	745	6857	7768	7222	496	1357	3090	1209	5408
gene-SAURSH1000_RS07795	NZ_CP059180.1	1622204	1622734	-	531	309	360	193	306	97	427	89	312	75	250	469	274	33	215	518	294	13	72	232	52	228
gene-SAURSH1000_RS07800	NZ_CP059180.1	1622734	1623576	-	843	377	480	184	405	139	610	145	410	94	345	699	381	38	297	728	415	26	116	372	82	339
gene-SAURSH1000_RS07805	NZ_CP059180.1	1623776	1623895	-	120	65	132	109	145	24	222	24	120	29	79	219	117	24	192	163	82	20	37	92	20	61
gene-SAURSH1000_RS07810	NZ_CP059180.1	1623969	1624442	-	474	94	91	37	80	19	123	37	62	26	55	112	50	24	71	143	76	19	42	68	20	54
gene-SAURSH1000_RS07815	NZ_CP059180.1	1624602	1624799	+	198	52	46	29	56	14	101	14	59	14	47	100	42	13	66	102	29	16	29	55	29	39
gene-SAURSH1000_RS07820	NZ_CP059180.1	1624916	1625200	-	285	319	344	240	436	87	775	109	251	106	337	713	371	65	418	498	267	25	184	275	154	373
gene-SAURSH1000_RS07825	NZ_CP059180.1	1625268	1625954	-	687	12	10	4	7	2	9	0	6	1	9	9	3	0	7	3	4	5	0	6	1	5
gene-SAURSH1000_RS07830	NZ_CP059180.1	1625951	1626658	-	708	9	9	3	8	5	12	1	8	0	13	14	4	3	10	12	8	0	2	9	4	9
gene-SAURSH1000_RS07835	NZ_CP059180.1	1626928	1628199	-	1272	1562	1966	718	1279	456	1793	496	1493	493	1278	2139	1351	224	1313	1956	1584	150	344	1158	272	1372
gene-SAURSH1000_RS07840	NZ_CP059180.1	1628212	1630842	-	2631	2858	3494	1138	2341	801	3378	801	2879	669	2224	3747	2440	296	2416	3456	2589	193	536	1939	413	2559
gene-SAURSH1000_RS07845	NZ_CP059180.1	1631245	1631805	+	561	253	244	98	230	64	373	75	219	55	290	360	213	24	233	358	238	12	73	230	80	318
gene-SAURSH1000_RS07850	NZ_CP059180.1	1632028	1633101	-	1074	194	247	87	183	61	313	71	191	39	183	316	120	12	188	262	173	15	48	180	69	166
gene-SAURSH1000_RS07855	NZ_CP059180.1	1633135	1633236	-	102	10	19	11	14	5	37	4	17	5	29	37	17	3	21	17	15	1	7	23	3	25
gene-SAURSH1000_RS07860	NZ_CP059180.1	1633297	1634583	-	1287	834	1243	527	822	423	977	492	881	318	787	1201	780	161	864	1102	1358	100	287	645	230	965
gene-SAURSH1000_RS07865	NZ_CP059180.1	1634631	1635605	-	975	461	674	281	416	205	436	284	399	205	407	651	425	68	430	624	824	42	141	367	93	491
gene-SAURSH1000_RS07870	NZ_CP059180.1	1635608	1636276	-	669	273	403	115	181	138	273	160	228	78	196	358	182	33	201	393	597	25	110	267	88	298
gene-SAURSH1000_RS07875	NZ_CP059180.1	1636298	1637224	-	927	692	974	277	413	340	692	349	467	176	520	780	389	70	487	915	1321	32	194	561	145	728
gene-SAURSH1000_RS07880	NZ_CP059180.1	1637266	1638081	-	816	465	594	172	322	302	496	250	423	111	409	582	226	66	348	830	890	27	160	554	95	743
gene-SAURSH1000_RS07885	NZ_CP059180.1	1638103	1639449	-	1347	2448	2698	979	1691	1448	2627	1412	1755	711	2339	3325	1586	312	1938	3518	4365	190	754	2365	507	5269
gene-SAURSH1000_RS07890	NZ_CP059180.1	1639666	1640256	-	591	302	306	98	149	50	234	64	196	32	236	238	115	15	170	279	230	9	31	133	28	186
gene-SAURSH1000_RS07895	NZ_CP059180.1	1640410	1641672	-	1263	5374	5418	2308	4275	1057	6026	1151	4357	1045	5310	6856	4120	520	4502	4834	4158	324	920	2355	740	4464
gene-SAURSH1000_RS07900	NZ_CP059180.1	1641823	1643124	-	1302	8984	10508	3925	5344	2335	10480	2617	7117	2515	7888	10148	6368	1124	7603	10171	8383	631	1844	6389	1448	8246
gene-SAURSH1000_RS07905	NZ_CP059180.1	1643172	1643282	-	111	65	90	32	42	23	59	25	87	9	41	59	37	8	45	120	62	3	14	58	9	52
